ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
ToniSKZ,ToniSKZ,465,86,3033,4370,Pacific Time (US & Canada),Mdd
Peregrinx,Peregrinx,105,11,68,35,Madrid,
ferotecas,ferotecas,1215,1015,44783,9344,Pacific Time (US & Canada),Vigo-Galicia
dani_nite,dani_nite,707,871,53704,11749,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
MrGris949,MrGris949,58,33,4794,2710,,Mmm... creo que me perdí
fandelat3,fandelat3,58,1138,151383,37448,Athens,Lluitant per un món millor.
CJuanatey,CJuanatey,2496,1289,12623,1015,Greenland,Compostela
deathlesssong,deathlesssong,226,182,16533,15749,,"Palacios del Sil, España"
JuanmaMM98,JuanmaMM98,191,45,1283,653,,
irene_3098,irene_3098,873,1429,33425,58205,Amsterdam,Lleida/Londres
M1GU3L_MP,M1GU3L_MP,1653,1080,26540,11699,Madrid,"Irun, Euskal Herria"
IrisDM7,IrisDM7,281,445,12846,1982,Greenland,en extinción
prazadorei,prazadorei,359,374,16229,3783,Madrid,"Vigo, Pontevedra, Galiza."
ANTONIACUE,ANTONIACUE,1674,1666,220393,17771,,ESPAÑA
MadeInYW,MadeInYW,232,2760,49881,25960,Pacific Time (US & Canada),Nowhere
KARLOSGARCIA75,KARLOSGARCIA75,221,403,34119,46830,,
bette_noir__,bette_noir__,2762,1268,59619,24262,Athens,
penefurtivo,penefurtivo,107,36,164,629,,Jaén
Aidape_96,Aidape_96,633,664,11791,6265,London,Fleet Street
bobfabulosa,bobfabulosa,294,430,11376,11392,Athens,Talavera no es España.
CayedoggPs4,CayedoggPs4,407,404,20108,2961,,Las Torres Gemelas
raeworld11,raeworld11,94,80,2509,3197,Madrid,
42franmarma,42franmarma,1994,2134,87870,36277,Belgrade,"Andalucía, sevilla"
PewPewGrrrl,PewPewGrrrl,501,8847,419621,275474,Madrid,veganismo o barbarie Ⓥ
zakhidgtg9bog,zakhidgtg9bog,31,6,329,273,,
LittleOne_Beibi,LittleOne_Beibi,499,1369,44592,38261,Amsterdam,VALENCIA - MADRID.
skazofrenico,skazofrenico,158,421,46789,27145,,Estamos en esto por las drogas
Lourdes180679,Lourdes180679,1962,1965,30267,30837,,
victor_more1,victor_more1,1194,760,26251,6204,Madrid,"Valladolid, Castilla "
FranSolano,FranSolano,579,1240,16337,1053,Madrid,Lorca
PatrySanroman,PatrySanroman,276,131,4976,442,,
GuillemGirona,GuillemGirona,907,371,6900,405,Athens,Girona
Pardehuevos_,Pardehuevos_,419,998,14040,6727,Pacific Time (US & Canada),Mestalla~Stamford Bridge 
celiama9,celiama9,532,77,230,5,,
jordigil96,jordigil96,414,411,25931,31541,Madrid,Deepweb
MathewStrat,MathewStrat,254,436,45752,74038,,The nineteenth floor
Alej037,Alej037,25,35,4270,1888,Pacific Time (US & Canada),
cesvlc,cesvlc,387,848,136467,2371,Madrid,"el Poble Sec, Barcelona"
DoktorZero,DoktorZero,227,821,54781,12813,Madrid,Valenciano en Salou
duotrece,duotrece,356,132,16119,36860,Athens,"Cataluña, España"
Kid_letro,Kid_letro,682,937,105445,54672,,
JorgeOtolio,JorgeOtolio,208,119,5014,3274,Europe/Prague,"České Budějovice, Rep. Checa"
AirMaxDon,AirMaxDon,999,1104,111997,35969,Ljubljana,Internet
_ju1_,_ju1_,1852,50061,119002,109427,Athens,"Alicante, España"
Gabrielestan,Gabrielestan,492,816,6117,1854,Ljubljana,"Torrevieja, mi ciudad."
MarioRMMM,MarioRMMM,293,293,17810,3739,Madrid,Madrid
paco_cambra,paco_cambra,257,264,1501,1596,Athens,
DrSamoano,DrSamoano,429,78,4182,6270,,"Santiago de Compostela, España"
surrendermin20,surrendermin20,100,66,9634,3300,Madrid,BCN
pablo6814,pablo6814,276,109,3981,1341,,"Detroit, MI"
JDCarracedo,JDCarracedo,1306,2033,4297,1461,Athens,"Bilbao, Euskadi"
ThunderKiiwi,ThunderKiiwi,232,783,83361,2925,Amsterdam,Monopolizando tu TL.
Ygritte_Snow,Ygritte_Snow,226,2880,157537,4294,Madrid,Pueblo Libre (País Valencià)
twittaghan,twittaghan,40,91,10415,2951,Athens,
Tofol1914,Tofol1914,205,262,48020,34313,,
Vii1,Vii1,466,434,63985,7932,Madrid,"Madrid, Vía Láctea"
DeathGunMLG,DeathGunMLG,430,169,2384,3406,Pacific Time (US & Canada),Grand Line
SBMontero,SBMontero,1255,905,54129,5264,Azores,Poldavia
EnrikeTheGame,EnrikeTheGame,681,798,43280,31375,Madrid,Graná
toled_ana,toled_ana,43,25,439,922,,
EnRoMayor,EnRoMayor,138,175,4532,2498,Pacific Time (US & Canada),Por ahi
francescoromeo4,francescoromeo4,260,104,7719,77,,España
ShinMadori,ShinMadori,1120,615,212463,20509,Athens,"Side 3, SIEG ZEON!"
fragmentajes,fragmentajes,224,212,13934,569,Greenland,"Bela Vista, SP"
AlexPowerUp,AlexPowerUp,437,988,108421,26849,Madrid,old and bearded lady
rnrlx_bot,rnrlx_bot,1,75,2768,34,Pacific Time (US & Canada),Enlightened Union
SadGuts,SadGuts,275,244,24185,20163,,"A Coruña, España"
antonio_cera,antonio_cera,121,76,1127,954,,
Pablo200206,Pablo200206,81,20,1076,248,,España
marioregueira,marioregueira,893,1463,9559,3334,Madrid,Galiza
Janml99,Janml99,115,127,3025,1352,Madrid,Der Riese
Alex_Subii,Alex_Subii,289,74,530,1870,,
adridibasket,adridibasket,226,166,5247,1749,,gandia
bilduman90,bilduman90,189,567,141559,100,,
pepipussa,pepipussa,224,130,7990,310,,BDN
Greevilr,Greevilr,1352,549,26841,16634,Amsterdam,"Écija, España"
RunemasterLiam,RunemasterLiam,362,334,5240,4100,Amsterdam,Mordor del sur
FernandoVega98,FernandoVega98,202,265,6084,3242,,La Isla
Sandrii_kitty,Sandrii_kitty,177,181,16559,993,Madrid,Somewhere in Neverland
ChibiYoru,ChibiYoru,148,615,99900,80521,Madrid,Dun Modr -  EU
PedroDuranGonz3,PedroDuranGonz3,297,143,704,264,,"Sedaví, España"
arathodic,arathodic,2208,1272,36258,26404,Madrid,
TonnyWanna,TonnyWanna,356,255,6338,4165,Greenland,"Llegando, a dos paradas."
FaidiFawaz,FaidiFawaz,73,37,1397,114,,
SniffyDiffy,SniffyDiffy,732,1612,39070,19784,Amsterdam,"Johannesburgo, Sudáfrica"
Byeluque,Byeluque,53,37,4100,3904,,
robergomez_23,robergomez_23,37,18,396,129,,
ItzZuga,ItzZuga,218,3134,11918,32239,Amsterdam,"Vigo, Spain"
JinxedLilith,JinxedLilith,467,929,50885,8972,Belgrade,Quin Decim
HyDrAxX_,HyDrAxX_,611,77,1079,312,Madrid,404 error
carmancobain,carmancobain,33,198,2810,184,,
Stoyhastaelpelo,Stoyhastaelpelo,667,905,59980,51433,Pacific Time (US & Canada),
ines_saez,ines_saez,1534,734,27657,4820,Madrid,València
Razvieu,Razvieu,683,9020,40483,24,Madrid,Raz Van Bass / Raz Van Buuren
PANAIR1964,PANAIR1964,166,76,12502,1720,Pacific Time (US & Canada),
reydecobos,reydecobos,295,146,7473,4612,Madrid,cáceres
accaro77,accaro77,605,273,6126,18942,,
robotronk1,robotronk1,944,2360,18003,21546,Pacific Time (US & Canada),LibreSpain 
admora_in,admora_in,111,39,8798,6780,,
DaviidA99,DaviidA99,90,30,5034,2984,Amsterdam,Where amazing happens.
Marcosm107,Marcosm107,563,368,12500,11562,Athens,"Dada Land, Dreambeach."
_Nachop,_Nachop,273,366,22865,24694,Pacific Time (US & Canada),He/him
carralportas,carralportas,54,39,5248,6198,,Na miña casa
LaLauriRudie,LaLauriRudie,1113,457,21165,13832,Hawaii,
sergiokfe,sergiokfe,322,171,8613,4454,Belgrade,
LuchaxRojas,LuchaxRojas,1162,473,3210,1371,,España
LynnxNarwhal,LynnxNarwhal,659,463,13413,19122,Pacific Time (US & Canada),INTP
DEF_CON_DOS,DEF_CON_DOS,488,12974,17825,9177,Amsterdam,Madrid (Sur de Europa)
nxadt,nxadt,734,1873,71140,26739,Madrid,"Roma, pero a veces en Pamplona"
telo_azul,telo_azul,642,1735,74289,63752,,En el culo del mundo(me perdí)
MiGulag,MiGulag,82,37,1870,917,Pacific Time (US & Canada),
ndres_reche,ndres_reche,376,377,13514,28679,Ljubljana,¿Crítico? Será de texto. 
pauwinchestah,pauwinchestah,660,910,127667,61684,Madrid,#BLM ♐/bi/CM @circulocolibri
LectoraDolores,LectoraDolores,141,115,197,230,,
cruatanam,cruatanam,137,98,3914,7155,Pacific Time (US & Canada),"Cádiz, Andalucía"
N_Band,N_Band,364,354,638,771,,Truth-through-fiction Land
Jorge_malus,Jorge_malus,145,46,8471,5639,Amsterdam,
aforteso,aforteso,1254,651,6556,624,Athens,
Accountable2019,Accountable2019,611,659,2051,3069,,"Granada, España"
AdriPerea,AdriPerea,329,435,37559,3870,Madrid,"Malaga, España"
TrasgoDelNorte,TrasgoDelNorte,147,110,5838,7998,Madrid,Por El Norte
SantiagoNeg,SantiagoNeg,1845,1381,18723,6672,,Toledo
btxcgnbv,btxcgnbv,5001,2297,127844,16663,Madrid,
jimenezaitziber,jimenezaitziber,539,350,23441,76685,,pais vasco
fredomercury,fredomercury,312,128,5060,251,Madrid,
laauriusdg,laauriusdg,170,720,39825,11485,Greenland,Uviéu
calsojorn10,calsojorn10,272,597,153927,2179,Ljubljana,
er_retuiteado,er_retuiteado,2684,1164,80966,5,Pacific Time (US & Canada),
CorzoMiguel,CorzoMiguel,276,285,1943,5,Madrid,Madrid
FelicidadLazaro,FelicidadLazaro,163,83,4194,8244,,
Rockbledillo79,Rockbledillo79,62,94,11915,0,Madrid,
ManuPlanetario,ManuPlanetario,1186,1466,73070,45295,,Santiago de Compostela/Ogrobe
CesarStrawberry,CesarStrawberry,1368,18579,26494,13778,Amsterdam,Madrid (Sur de Europa)
BBasileus,BBasileus,432,378,1494,1184,Pacific Time (US & Canada),Oviedo
BaeronDallas,BaeronDallas,366,720,47276,49735,Ljubljana,"León, España"
GonzaloAbellan,GonzaloAbellan,1944,609,17121,7003,,Madrid
femiyonki,femiyonki,153,146,13152,4889,Madrid,Murcia
eduvillarblas,eduvillarblas,1225,941,87525,24410,,
heterofobiaviva,heterofobiaviva,439,553,19693,31341,Madrid,MIS COJONES DE HEMBRA
aljadim,aljadim,3978,2757,115065,34915,Madrid, Bilbao...Sarajevo
alguien_neutral,alguien_neutral,185,260,19973,1036,,"España, dictadura democrática"
MarcoAndreFP,MarcoAndreFP,326,53,579,237,Caracas,Snowdin
3Gerar,3Gerar,382,175,28392,16892,Amsterdam,Bjørnøya
MoneyCorruption,MoneyCorruption,6029,6137,115969,69269,Pacific Time (US & Canada),Großdeutsche Reich
jesustejero1,jesustejero1,123,91,443,3,Amsterdam,spain
MaaariaEmece,MaaariaEmece,151,197,23416,2008,Greenland,Donde se abrazan ficus
JudithVV28,JudithVV28,1067,793,44083,3672,,
cr3tin0s,cr3tin0s,634,605,22124,682,London,"Sistema solar, Planeta Tierra"
RogerSampietro,RogerSampietro,568,267,4134,853,Madrid,Barcelona
aguVV,aguVV,590,250,18019,6700,Madrid,"Sevilla, España"
josema0890,josema0890,727,269,10989,2498,Madrid,Science Bitch
VictorMoral,VictorMoral,678,247,13766,8711,Madrid,"Las Rozas de Madrid, España"
clgrcx,clgrcx,298,560,28935,20482,Madrid,PPCC
AReija_,AReija_,1326,465,24570,5598,Amsterdam,Lugo - Vigo
Deadlosito98,Deadlosito98,130,246,48328,62347,Pacific Time (US & Canada),"Barcelona, Cataluña"
GinTonicGirl7,GinTonicGirl7,1435,3671,54427,100723,Madrid, Donde terminan mis huellas
AfroParadise,AfroParadise,378,459,208436,53772,Athens,死肉
nadeyyo,nadeyyo,300,104,2242,146,Madrid,un pequeño pedazo del planeta 
danicuv,danicuv,1543,462,36172,3025,Amsterdam,A Coruña
jalcuten,jalcuten,299,208,1816,62,Madrid,Madrid
sangostian,sangostian,305,95,3840,6715,,"Puig, Comunidad Valenciana"
angelcalleja,angelcalleja,861,18349,86540,2025,Madrid,Madrid / España
_juan_antonio_,_juan_antonio_,282,43,5114,4660,,
Mallus_Malleus,Mallus_Malleus,678,560,51136,13409,Paris,Terrassa
heladit0s,heladit0s,184,183,5079,1661,,Vigo
GrandeIII,GrandeIII,452,515,47725,5167,Madrid,"Sevilla, Andalucía"
IUMORON,IUMORON,327,332,9873,8535,Athens,
oscarbenidorm,oscarbenidorm,1297,1717,47980,7938,Madrid,Benidorm 
PabloSQG,PabloSQG,137,152,13451,13714,Pacific Time (US & Canada),Ciudad Real
BerbiquiS,BerbiquiS,298,210,5337,5432,,"Santa Berga de la Clòtxina, pedania del Piu de l'Àngel i de la Figa de Tatia."
PorcularPartido,PorcularPartido,706,524,5924,70,Athens,
GatRoig,GatRoig,498,86,3970,2649,,RPD de Catalunya
EmiliadeCarinho,EmiliadeCarinho,12836,12815,64498,8644,Pacific Time (US & Canada),Espanhistán
Nathanael,Nathanael,698,791,66996,22564,Madrid,Nevermore
psanmarti,psanmarti,469,379,25254,1555,Stockholm,Catalonia
wesrok,wesrok,522,247,17776,16716,Madrid,Malaga
OsQar,OsQar,180,351,46245,9219,Madrid,Madriz
almarx_,almarx_,331,457,15222,13654,Madrid,"Barcelona, España"
Emma97_,Emma97_,316,423,12452,2663,Athens,"Salamanca, España"
asicamen,asicamen,535,87,5070,2848,,"Barcelona, Spain"
pochemucka_,pochemucka_,777,5864,47149,83311,Pacific Time (US & Canada),PPCC
Com_AChoverov,Com_AChoverov,355,822,81483,2005,Madrid,Mérida City & Port Royal
Sara_gra,Sara_gra,640,1206,32456,7825,Madrid,Madrid
samudelacruz,samudelacruz,890,466,30323,2437,Madrid,"Madrid,Spain"
freemagnum,freemagnum,1655,389,8158,16656,Madrid,Portico
13_topo,13_topo,346,84,2599,181,Greenland,
Jcarlosol,Jcarlosol,1094,313,10108,3180,Madrid,"40.305230,-3.732090"
oscuro_casco,oscuro_casco,76,37,342,865,,
Gloire_,Gloire_,905,227,3799,13,Madrid,
davcimas,davcimas,125,48,683,845,Amsterdam,
umbriel_otaku,umbriel_otaku,345,387,54229,12219,Madrid,"Ciudad Real, La Mancha, España"
NicolasMerino46,NicolasMerino46,457,163,1604,1477,,La que quieras
Ivan_Galiana,Ivan_Galiana,180,148,969,128,,
RCamara22,RCamara22,1216,525,8860,327,Greenland,Madrid
alf_amra,alf_amra,1416,648,3617,1295,Athens,España
Cisner0ss,Cisner0ss,57,67,5768,5499,,"Sevilla, España"
Musica_Mierder,Musica_Mierder,16,10,35,102,,"Los Angeles, CA"
Martixx,Martixx,519,889,46853,10785,Madrid,Fuenla. ADRV.
Davidferpre,Davidferpre,444,153,5725,465,Madrid,Galicia
Zifra,Zifra,298,1140,31861,562,Madrid,"Sevilla, España"
raul_decast,raul_decast,197,114,7527,217,London,
Frikimalismo,Frikimalismo,196,19916,24467,6625,Athens,Al oeste en Philadelphia
SittoGrey,SittoGrey,170,392,25771,6994,Amsterdam,"Madrid, no Madriz gilipollas"
thegonza98,thegonza98,431,383,5872,2053,Pacific Time (US & Canada),
Rahlthor,Rahlthor,720,131,4284,35,Madrid,
Colesterio,Colesterio,301,332,38338,2648,Madrid,Sodomenstaffel.
listocomics,listocomics,695,18057,34593,59364,Madrid,Barcelona
xNekawa,xNekawa,96,56,1376,764,Pacific Time (US & Canada),"Baleares, Islas Baleares"
AnnaBotargues,AnnaBotargues,37,73,4653,2014,Athens,"Lleida, Catalunya"
hydrosound,hydrosound,2936,2086,19125,1961,Europe/Madrid,Madrid
TENGOPOLLON,TENGOPOLLON,3143,896,25628,16670,,En la luna.
prettyviisitors,prettyviisitors,217,201,16324,20022,Amsterdam,País Valencià
anapeterpana,anapeterpana,966,376,19604,11105,Madrid,Los Mundos de Yupy
586ca1383e084c8,586ca1383e084c8,3079,3054,157204,140448,,CASTILLA.
ThePetergente,ThePetergente,103,87,12466,4087,,
angsimpa,angsimpa,3974,4420,330754,129470,Madrid,
maisaruro,maisaruro,1246,1808,107972,87360,Hawaii,españa
PabloUriaDiez,PabloUriaDiez,972,1669,10959,27053,Madrid,España
LyoTheLyon,LyoTheLyon,85,85,6642,5800,,"Girona, Catalunya"
Eduu007,Eduu007,694,359,22562,7520,Amsterdam,Gijón 
FerrariSahu,FerrariSahu,18,16,181,35,,
cerrillar,cerrillar,512,204,5163,10019,,Fiyi
cptn_pastanaga,cptn_pastanaga,1853,914,12224,696,,Barcelona
Heisengkey,Heisengkey,174,110,6869,848,Athens,Farhampton 
Strogolof,Strogolof,309,239,22873,12496,Madrid,El Abismo
JessKapone,JessKapone,485,749,51247,13708,Greenland,Cantabria/Salamanca
maiterreape,maiterreape,747,808,17659,18024,Pacific Time (US & Canada),Sagunt amb el puny amunt.
Thanatos17x,Thanatos17x,171,191,47221,8417,Madrid,Iruña
Estacadebares,Estacadebares,2945,2692,240975,9958,Madrid,
locuspolitikus,locuspolitikus,5123,5039,259040,21918,,"Barcelona, Cataluña"
__Asdfghjklz__,__Asdfghjklz__,2215,1420,54310,66472,Athens,"PV, PPCC. // NAFARROA, EH. "
frank_mathe,frank_mathe,1531,1388,17785,13520,,Humor y Reivindicación
rufernxndes,rufernxndes,208,497,19658,18750,Madrid,Segovia
Ixuai,Ixuai,870,253,1964,2372,Amsterdam,Córdoba
DuraAdri,DuraAdri,92,486,12968,10503,,"Cádiz, España"
miaumiauremiau,miaumiauremiau,2406,3209,67237,17360,Madrid,Barcelona
Volturyon,Volturyon,72,146,30471,6652,,Galiza comunista.
TatuBubu,TatuBubu,455,429,6399,2272,,
eivitanit,eivitanit,4861,3561,80222,2305,Madrid,ibiza / baleares /españa
Cuevas_Aranda,Cuevas_Aranda,638,695,45935,24355,,CORDOBA
NEVENKAWARNING,NEVENKAWARNING,9994,12571,246403,3769,Madrid,
ynomellamo,ynomellamo,310,122,4157,3143,,Entre Mongolia y Babilonia. 
franjbellido,franjbellido,2170,1836,13067,9919,Madrid,Barcelona
AidaMathers,AidaMathers,537,982,10390,24853,Madrid,Poble Paleta Antifeixista
tato1991ur,tato1991ur,3092,2236,42769,12283,Amsterdam,Suiza 
Jimeneses59,Jimeneses59,2360,6570,138562,19825,Athens,
andres_tecno,andres_tecno,307,216,28269,2289,,Fuerteventura. 
CORVIDO1971,CORVIDO1971,1165,309,4093,3682,Pacific Time (US & Canada),"Gijón, España"
1Vision_Critica,1Vision_Critica,2033,1945,1213,1060,,Península Ibérica
cynngalactica,cynngalactica,309,1436,44244,31793,,instaurando un matriarcado
rauleliasol,rauleliasol,7728,7729,58906,38296,Madrid,Logroño (La Rioja)
Ruben_Topo_,Ruben_Topo_,602,518,39538,24608,Madrid,
leckman34,leckman34,400,91,52201,65,Madrid,La classe obrera
ReasonsUnknown_,ReasonsUnknown_,645,2472,167293,286934,Madrid,"Córdoba, España"
Roldier,Roldier,739,14093,36359,109551,Madrid,"Madrid, Comunidad de Madrid"
Fuster_FTW,Fuster_FTW,492,1009,49112,15056,Athens,Madrid
imagine1924,imagine1924,1748,836,39023,27423,,"Valladolid, España"
AmebaCrujiente,AmebaCrujiente,148,91,992,429,Pacific Time (US & Canada),"Segovia, España"
Rai_Say_,Rai_Say_,501,257,9306,5670,Pacific Time (US & Canada),Mordor (Murcia)
PPalacalle,PPalacalle,275,38,1372,235,,
anmay57,anmay57,1709,1825,136353,17134,Europe/Madrid,Alcala de Henares
Danurss97,Danurss97,47,29,250,54,,"Stalingrad, USSR"
AgustinBotines,AgustinBotines,2723,2981,123733,4790,Madrid,Caceres (España)
Rubi99beniR,Rubi99beniR,686,634,22989,20546,Ljubljana,
MrPascual95,MrPascual95,322,248,8634,821,Madrid,"Manzanares el Real, España"
DaniRuedasLopez,DaniRuedasLopez,245,293,21222,1955,Amsterdam,Getafe
mrmarti_,mrmarti_,395,1785,35364,47760,Madrid,Californication 
saurians,saurians,356,190,10682,2694,Greenland,При́п'ять (Valladolid)
jingo25814164,jingo25814164,151,262,38072,291,Athens,españa
jairo_pastor1,jairo_pastor1,807,339,14940,11241,Madrid,
titet81,titet81,1091,715,6017,3788,,
dannielatres,dannielatres,394,509,22902,5148,Athens,maliAñiiiiiiiiiiiaooooooooo
eduardoblanco__,eduardoblanco__,567,406,27888,8116,Madrid,Santander
KimiHimeNya,KimiHimeNya,65,90,26470,480,London,"Islas Canarias, España"
darikdarkness,darikdarkness,303,572,38116,14987,Amsterdam,Brookhaven Asylum.
joselu_ra,joselu_ra,511,140,2367,872,Madrid,
sadgasmito,sadgasmito,215,209,48221,22503,Belgrade,
Matias11D_,Matias11D_,445,1003,140067,242794,London,Barcelona
cuarterman_scm,cuarterman_scm,736,319,5236,1004,,"Getafe, Spain"
Unelar,Unelar,564,30303,200464,77189,Amsterdam,"Bilbao, la hostia"
ashvathaman,ashvathaman,34,17,2900,57,Madrid,
cooI_porygon,cooI_porygon,142,161,22423,38820,Pacific Time (US & Canada),
juliolxxix,juliolxxix,1501,1971,267787,2683,,madrid
DuxAdler,DuxAdler,210,264,43226,30123,Madrid,Metro 2033
ldioteque_,ldioteque_,355,819,73169,14605,Hawaii,Überlin
RoseLecter,RoseLecter,505,1656,68174,62437,Belgrade,@holaxicsss
suggarmarxist,suggarmarxist,785,9373,49956,8117,Pacific Time (US & Canada),con mis femifranquis
196193Jose,196193Jose,1291,1317,70950,54560,,ALCOI (ALACANT)
KanFirnen,KanFirnen,98,33,2981,2505,London,Aquí
raslyy,raslyy,149,152,2821,3684,Pacific Time (US & Canada),
titosparrow,titosparrow,1607,1470,22305,8402,Hawaii,Mediterráneo. Spain
AnibalHerran,AnibalHerran,142,114,5656,432,,
lolitalittle,lolitalittle,823,617,11838,7819,,macaronesia
oierpereda,oierpereda,169,111,901,136,,
GladysLobato,GladysLobato,78,147,726,1000,,"A Coruña,  Galicia "
europaa59,europaa59,315,161,7525,2148,London,
pitihacklab,pitihacklab,1688,425,6926,815,,
emoyoyo,emoyoyo,2202,1188,22824,6382,Berlin,WonderLand
LeftsReview,LeftsReview,2368,1578,89896,23136,Ljubljana,Twitter
cristinvvv,cristinvvv,212,517,50015,41434,,
